,Comune Lecce,,,,,
,SAN PIETRO IN LAMA,,,,,
Parm,NOX,NO2,PM10,CO,BENZENE,O3



13/01/2010 2.00,"18,00979146","16,34669562","15,14041042","0,87071518","0,44297164","32,48404635"
13/01/2010 3.00,"20,59983064","18,68806199",,"0,89438798","0,05661029","27,39164925"
13/01/2010 4.00,"16,85677898","15,21755064","15,62880993","0,9443758","0,04934179","26,1331035"
13/01/2010 5.00,"17,72056514","16,66597094",,"0,93085947","0,07335113","19,63333365"
13/01/2010 6.00,"23,4298392","20,0923476","21,97801971","0,96638847","0,01453802","14,05377551"
13/01/2010 7.00,"34,91065352","26,94640872",,"1,03257329","0,10000466","11,70178023"
13/01/2010 8.00,"78,21923168","42,67142328","27,35042","1,16033767","0,24538583","4,63091171"
13/01/2010 9.00,"406,3952176","95,58567912",,"1,70869735","0,62183346","2,56851861"
13/01/2010 10.00,"290,2937976","96,06199656","34,18803024","1,82959056","2,58073106","4,90833441"
13/01/2010 11.00,"261,1885688","101,9945502",,"1,50240148","3,74532014","7,66360497"
13/01/2010 12.00,"104,1275965","60,56388104","39,07204056","1,20473699","2,66950194","30,38510685"
13/01/2010 13.00,"47,92579048","32,05871432",,"1,00557791","0,82845125","57,0338181"
13/01/2010 14.00,"55,06431896","33,9211744","29,30401993","1,02445673","0,00308354","62,6445162"
13/01/2010 15.00,"51,39651024","37,20088536",,"1,02581512",,"58,1976213"
13/01/2010 16.00,"59,5440776","43,08026624","26,37360954","1,19646898","0,09383656","49,62867735"
13/01/2010 17.00,"61,19904744","47,81359432",,"1,26099367","0,67095456","45,69066705"
13/01/2010 18.00,"80,21138272","60,35363752","31,25761986","1,42156795","1,41680304","26,51472705"
13/01/2010 19.00,"86,13596328","66,0980312",,"1,48171108","2,45407388","24,92327565"
13/01/2010 20.00,"136,9643992","94,00875712","40,53723145","1,78756901","3,31446402","16,25826248"
13/01/2010 21.00,"124,4407992","89,57393048",,"1,71462487","4,43147478","12,61659546"
13/01/2010 22.00,"103,2495296","76,69255704","52,7472496","1,57761038","3,63474275","9,0480053"
13/01/2010 23.00,"100,3949136","71,4984752",,"1,68830985","3,40037103","14,35284995"
14/01/2010 0.00,"76,26468968","64,6314316","49,32844162","1,68645866","3,07106134","16,49102511"
14/01/2010 1.00,"85,32017024","73,33235088",,"1,70933926","3,06203038","8,4958691"
14/01/2010 2.00,,,"45,42124176","1,48295763","2,53689735",
14/01/2010 3.00,"25,37399904","23,76011808",,,"1,55095043","52,17014775"
